lr-AdamW,step,val_loss,val_acc,val_acc_top2,val_precision,val_recall,epoch,train_acc,train_loss
5e-10,0,,,,,,,,
,31,1.9525820016860962,0.1361804995970991,0.29492344883158744,0.13869143070738726,0.11568017676175965,0,,
,31,,,,,,0,0.11661457270383835,1.9848426580429077
5e-05,32,,,,,,,,
,63,1.6973137855529785,0.410958904109589,0.5930701047542305,0.24872615282218186,0.2313100740407299,1,,
,63,,,,,,1,0.28848958015441895,1.8538908958435059
0.0001,64,,,,,,,,
,95,1.6238998174667358,0.43190975020145045,0.6341659951651893,0.3004308690267426,0.23822071947911755,2,,
,95,,,,,,2,0.41343751549720764,1.7218729257583618
0.00015,96,,,,,,,,
,127,1.5748181343078613,0.45769540692989524,0.6736502820306205,0.2814202934851289,0.25147617768646074,3,,
,127,,,,,,3,0.453229159116745,1.6475483179092407
0.0002,128,,,,,,,,
,159,1.6379947662353516,0.44802578565672846,0.6430298146655923,0.30162027505477,0.2876212421516304,4,,
,159,,,,,,4,0.46781253814697266,1.5761969089508057
0.00025,160,,,,,,,,
,191,1.5221178531646729,0.46091861402095086,0.6897663174858985,0.330382852441676,0.2563263083447514,5,,
,191,,,,,,5,0.4829166531562805,1.5320378541946411
0.0003,192,,,,,,,,
,223,1.5181539058685303,0.46253021756647866,0.7002417405318292,0.35040100580191264,0.24594198558932373,6,,
,223,,,,,,6,0.5019791126251221,1.479676604270935
0.00035,224,,,,,,,,
,255,1.5364323854446411,0.45044319097502017,0.717969379532635,0.36176025881765045,0.2178190091797275,7,,
,255,,,,,,7,0.5048437714576721,1.4598093032836914
0.0004,256,,,,,,,,
,287,1.520591378211975,0.4649476228847704,0.7195809830781628,0.3471919173564163,0.2536568255293106,8,,
,287,,,,,,8,0.5232812166213989,1.3747845888137817
0.00045000000000000004,288,,,,,,,,
,319,1.6254504919052124,0.44641418211120065,0.6768734891216761,0.3205145624971431,0.26726167709842,9,,
,319,,,,,,9,0.53989577293396,1.3010047674179077
0.0005,320,,,,,,,,
,351,1.4054317474365234,0.47058823529411764,0.7381144238517324,0.4943786809106205,0.2596679787699861,10,,
,351,,,,,,10,0.5644791722297668,1.2364834547042847
0.0004998477067547739,352,,,,,,,,
,383,1.4438077211380005,0.47542304593070106,0.6954069298952458,0.3350745872485003,0.263241130426512,11,,
,383,,,,,,11,0.5908854603767395,1.1486836671829224
0.0004993910125649561,384,,,,,,,,
,415,1.448410153388977,0.48509266720386784,0.7058823529411765,0.44386438132782174,0.2847539037436303,12,,
,415,,,,,,12,0.5937498807907104,1.116155982017517
0.0004986304738420684,416,,,,,,,,
