lr-AdamW,step,val_loss,val_acc,val_acc_top2,val_precision,val_recall,epoch,train_acc,train_loss
5e-10,0,,,,,,,,
,31,2.000123977661133,0.0547945205479452,0.14665592264302982,0.15799792407408025,0.1369179995285936,0,,
,31,,,,,,0,0.10453124344348907,2.0030624866485596
5e-05,32,,,,,,,,
,63,1.8073850870132446,0.3682514101531023,0.5608380338436745,0.28843115127438607,0.23817913215494607,1,,
,63,,,,,,1,0.343854159116745,1.7936447858810425
0.0001,64,,,,,,,,
,95,1.7072142362594604,0.42062852538275586,0.6156325543916197,0.5840786970047637,0.2260312953204238,2,,
,95,,,,,,2,0.4626040756702423,1.5939620733261108
0.00015,96,,,,,,,,
,127,1.678892731666565,0.44560838033843675,0.6494762288477035,0.3661511693030719,0.2842646469355678,3,,
,127,,,,,,3,0.5090624690055847,1.4549174308776855
0.0002,128,,,,,,,,
,159,2.022916078567505,0.37792103142626915,0.5640612409347301,0.3134489161687459,0.20202095917872956,4,,
,159,,,,,,4,0.5590624809265137,1.3175801038742065
0.00025,160,,,,,,,,
,191,2.4479119777679443,0.3714746172441579,0.6752618855761483,0.1331612930631664,0.15904194154791668,5,,
,191,,,,,,5,0.5707812905311584,1.2960739135742188
0.0003,192,,,,,,,,
,223,2.4863362312316895,0.35294117647058826,0.684931506849315,0.21713455186361588,0.15160533266354537,6,,
,223,,,,,,6,0.5972394943237305,1.2213300466537476
0.00035,224,,,,,,,,
,255,2.952279567718506,0.3134568896051571,0.4657534246575342,0.25330022488903764,0.24620521833458978,7,,
,255,,,,,,7,0.6022917032241821,1.1773966550827026
0.0004,256,,,,,,,,
,287,3.8697316646575928,0.33360193392425463,0.6575342465753424,0.12289915966386555,0.14434925257155415,8,,
,287,,,,,,8,0.6320832967758179,1.0813138484954834
0.00045000000000000004,288,,,,,,,,
,319,1.9502484798431396,0.30781627719580984,0.4794520547945205,0.31959139602664716,0.25837697977250645,9,,
,319,,,,,,9,0.6262500286102295,1.1181925535202026
0.0005,320,,,,,,,,
,351,3.8910012245178223,0.36019339242546333,0.5414987912973409,0.24528555256846568,0.20867369282264153,10,,
,351,,,,,,10,0.6866666674613953,0.9416220784187317
0.0004998477067547739,352,,,,,,,,
,383,2.5370750427246094,0.39000805801772764,0.6204673650282031,0.19087809253054458,0.21645990887220526,11,,
,383,,,,,,11,0.6886457800865173,0.9161232709884644
0.0004993910125649561,384,,,,,,,,
,415,10.848198890686035,0.34649476228847703,0.5036261079774376,0.2767887054319215,0.16145265092795724,12,,
,415,,,,,,12,0.7466145157814026,0.751214861869812
0.0004986304738420684,416,,,,,,,,
,447,4.2618560791015625,0.2328767123287671,0.36583400483481066,0.3812149066472975,0.26314807038656435,13,,
,447,,,,,,13,0.7653124928474426,0.7059943079948425
0.0004975670171853926,448,,,,,,,,
,479,8.738715171813965,0.18775181305398872,0.3980660757453666,0.2797756160257448,0.17308230079307793,14,,
,479,,,,,,14,0.7811458706855774,0.642915666103363
0.000496201938253052,480,,,,,,,,
,511,2.4904274940490723,0.3972602739726027,0.613215149073328,0.2353347744373646,0.22301770644948027,15,,
,511,,,,,,15,0.7198958396911621,0.806648313999176
0.0004945369001834514,512,,,,,,,,
,543,2.0418522357940674,0.43674456083803387,0.6680096696212732,0.40279233993715213,0.2334793567230469,16,,
,543,,,,,,16,0.7303125858306885,0.7626121640205383
0.0004925739315689991,544,,,,,,,,
,575,2.559293031692505,0.44077356970185333,0.6333601933924254,0.4043290043290043,0.28374514612443696,17,,
,575,,,,,,17,0.8132290244102478,0.5466129183769226
0.0004903154239845797,576,,,,,,,,
,607,3.5188984870910645,0.3182917002417405,0.5342465753424658,0.3177568879548596,0.2590753758784907,18,,
,607,,,,,,18,0.8701040744781494,0.39648935198783875
0.0004877641290737884,608,,,,,,,,
,639,1.7754100561141968,0.47461724415793716,0.7445608380338437,0.42736667844708487,0.24864084656954058,19,,
,639,,,,,,19,0.8343228697776794,0.4907720983028412
0.0004849231551964771,640,,,,,,,,
,671,4.52539587020874,0.33843674456083805,0.5269943593875906,0.24350987472833183,0.1614023670510483,20,,
,671,,,,,,20,0.8954686522483826,0.31597191095352173
0.00048179596364169685,672,,,,,,,,
,703,2.26708984375,0.49556809024979853,0.6720386784850927,0.4906035224135371,0.3766510899415346,21,,
,703,,,,,,21,0.959426999092102,0.15438927710056305
0.0004783863644106502,704,,,,,,,,
